word,PoS,score
#oclone,HTAG,-1
#oda,HTAG,-1
#odeio,HTAG,-1
#oi,HTAG,-1
#old,HTAG,1
#omg,HTAG,-1
#opera,HTAG,1
#orgulhoafro,HTAG,-1
#orkutaovivo,HTAG,-1
#oseducadosrespondem,HTAG,-1
#ossimpsons,HTAG,-1
#pais,HTAG,-1
#palmeiras,HTAG,1
#palocci,HTAG,-1
#panama,HTAG,1
#panico,HTAG,1
#parti,HTAG,-1
#partiu,HTAG,-1
#patadeperro,HTAG,1
#paulafernandes,HTAG,0
#peliculaspizzeras,HTAG,1
#photoshop,HTAG,-1
#php,HTAG,1
#piadasdacarol,HTAG,-1
#piadassobrepiadas,HTAG,1
#planetmix,HTAG,-1
#plc122,HTAG,-1
#plimplim,HTAG,-1
#pobrefeelings,HTAG,-1
#poderir,HTAG,-1
#pokemon,HTAG,-1
#polishop,HTAG,-1
#politicagem,HTAG,-1
#polvilho,HTAG,-1
#popular,HTAG,-1
#poweroflove,HTAG,-1
#poxagoogle,HTAG,-1
#pqp,HTAG,-1
#prequi,HTAG,-1
#profiss,HTAG,1
#programadojo,HTAG,-1
#promo,HTAG,-1
#prova,HTAG,-1
#pseudociencia,HTAG,-1
#ptt,HTAG,-1
#pucrs,HTAG,-1
#putafaltadesacanagem,HTAG,-1
#putaquepariu,HTAG,-1
#qbomne,HTAG,-1
#qconsp,HTAG,1
#quefasehein,HTAG,-1
#quepena,HTAG,-1
#quitesmoking,HTAG,1
#quiz,HTAG,1
#ramon,HTAG,-1
#receba,HTAG,-1
#reclame,HTAG,1
#redeglobo,HTAG,-1
#referendum,HTAG,-1
#referendum2011,HTAG,-1
#refugiodosanjos,HTAG,1
#reginaldorossi,HTAG,-1
#revendatim,HTAG,-1
#reynosa,HTAG,-1
#riovermelho,HTAG,-1
#riverplate,HTAG,1
#rockrio,HTAG,-1
#s,HTAG,-1
#sabado,HTAG,1
#sabesqueestasgordo,HTAG,-1
#safari,HTAG,1
#samsung,HTAG,-1
#sanantoniodecabeza,HTAG,-1
#santoantonio,HTAG,-1
#sapevatelo,HTAG,-1
#seladygagafossebrasileira,HTAG,-1
#semata,HTAG,-1
#seo,HTAG,0
#seomoz,HTAG,1
#ser,HTAG,-1
#serepitelahistoria,HTAG,1
#sga,HTAG,-1
#sic,HTAG,1
#sigam,HTAG,-1
#signos,HTAG,-1
#signout,HTAG,-1
#site,HTAG,-1
#smiles,HTAG,-1
#sms,HTAG,-1
#sogra,HTAG,-1
#sono,HTAG,-1
#sonyericsson,HTAG,-1
#sorteiomanual,HTAG,-1
#sosbombeiros,HTAG,-1
